directory,functions,tested,tag
drivers/dma/ioat,117,0,v3.0
drivers/dma/ipu,62,0,v3.0
drivers/dma/ppc4xx,101,0,v3.0
drivers/firmware/google,25,0,v3.0
drivers/gpu/drm,5169,13,v3.0
drivers/gpu/stub,4,0,v3.0
drivers/gpu/vga,43,0,v3.0
drivers/hid/usbhid,127,0,v3.0
drivers/i2c/algos,47,0,v3.0
drivers/i2c/busses,973,0,v3.0
drivers/i2c/muxes,24,0,v3.0
drivers/infiniband/core,826,0,v3.0
drivers/infiniband/hw,2954,1,v3.0
drivers/infiniband/ulp,317,0,v3.0
drivers/input/gameport,61,0,v3.0
drivers/input/joystick,318,0,v3.0
drivers/input/keyboard,551,0,v3.0
drivers/input/misc,494,0,v3.0
drivers/input/mouse,346,0,v3.0
drivers/input/serio,335,0,v3.0
drivers/input/tablet,120,0,v3.0
drivers/input/touchscreen,638,0,v3.0
drivers/isdn/act2000,67,0,v3.0
drivers/isdn/capi,200,0,v3.0
drivers/isdn/divert,25,0,v3.0
drivers/isdn/gigaset,313,0,v3.0
drivers/isdn/hardware,1186,2,v3.0
drivers/isdn/hisax,1544,1,v3.0
drivers/isdn/hysdn,74,0,v3.0
drivers/isdn/i4l,307,0,v3.0
drivers/isdn/icn,36,0,v3.0
drivers/isdn/isdnloop,34,0,v3.0
drivers/isdn/mISDN,389,0,v3.0
drivers/isdn/pcbit,64,0,v3.0
drivers/isdn/sc,31,2,v3.0
drivers/lguest/x86,15,0,v3.0
drivers/macintosh/ams,35,0,v3.0
drivers/media/common,505,0,v3.0
drivers/media/dvb,4102,1,v3.0
drivers/media/radio,682,2,v3.0
drivers/media/rc,591,0,v3.0
drivers/media/video,9930,17,v3.0
drivers/memstick/core,71,0,v3.0
drivers/memstick/host,78,0,v3.0
drivers/message/fusion,383,0,v3.0
drivers/message/i2o,212,0,v3.0
drivers/misc/c2port,39,0,v3.0
drivers/misc/carma,73,0,v3.0
drivers/misc/cb710,23,0,v3.0
drivers/misc/eeprom,45,0,v3.0
drivers/misc/ibmasm,69,0,v3.0
drivers/misc/iwmc3200top,34,0,v3.0
drivers/misc/lis3lv02d,58,0,v3.0
drivers/misc/sgi-gru,171,0,v3.0
drivers/misc/sgi-xp,236,0,v3.0
drivers/misc/ti-st,59,0,v3.0
drivers/mmc/card,175,42,v3.0
drivers/mmc/core,260,10,v3.0
drivers/mmc/host,1116,2,v3.0
drivers/mtd/chips,177,0,v3.0
drivers/mtd/devices,195,0,v3.0
drivers/mtd/lpddr,25,0,v3.0
drivers/mtd/maps,335,0,v3.0
drivers/mtd/nand,901,2,v3.0
drivers/mtd/onenand,162,0,v3.0
drivers/mtd/tests,97,61,v3.0
drivers/mtd/ubi,204,0,v3.0
drivers/net/appletalk,54,0,v3.0
drivers/net/arcnet,107,4,v3.0
drivers/net/arm,277,0,v3.0
drivers/net/atl1c,114,0,v3.0
drivers/net/atl1e,106,0,v3.0
drivers/net/atlx,134,0,v3.0
drivers/net/benet,209,0,v3.0
drivers/net/bna,580,0,v3.0
drivers/net/bnx2x,562,0,v3.0
drivers/net/bonding,293,0,v3.0
drivers/net/caif,62,0,v3.0
drivers/net/can,529,0,v3.0
drivers/net/chelsio,256,0,v3.0
drivers/net/cris,47,0,v3.0
drivers/net/cxgb3,485,0,v3.0
drivers/net/cxgb4,312,0,v3.0
drivers/net/cxgb4vf,166,0,v3.0
drivers/net/e1000,245,0,v3.0
drivers/net/e1000e,456,0,v3.0
drivers/net/ehea,171,0,v3.0
drivers/net/enic,206,0,v3.0
drivers/net/fs_enet,122,6,v3.0
drivers/net/hamradio,267,0,v3.0
drivers/net/ibm_newemac,178,0,v3.0
drivers/net/igb,355,0,v3.0
drivers/net/igbvf,132,0,v3.0
drivers/net/irda,644,0,v3.0
drivers/net/ixgb,125,0,v3.0
drivers/net/ixgbe,525,0,v3.0
